PRODUCT_ID_MASTER,PRODUCT_NAME_MASTER,UNIT_PRICE_MASTER,TRANSACTION_ID,TRANSACTION_DATE,PRODUCT_NAME,QUANTITY,UNIT_PRICE,TOTAL_PRICE,SIMILARITY
P013,フレッシュケア ソフティーナ,500,R000013,2025-01-13,フレッシュケアソフティーナ【半額セール】,4,500,2000,0.9764549918
P014,ヤマトエアコン MSZ-GV3519,90000,R000014,2025-02-14,ヤマトｴｱｺﾝ MSZ-GV3519【店頭】＜期間限定＞,5,90000,450000,0.9981849372
P015,ハッピースイーツ チョコパイ,300,R000015,2025-03-15,ハッピースイーツ チョコパイ＜半額セール＞,1,300,300,0.9740228018
P016,ミライ電機 4Kスマートテレビ,80000,R000016,2025-04-16,ミライ電機4Kスマートテレビ【期間限定】,2,80000,160000,0.9974796223
P017,フジヤマ電機 4Kプロジェクター,130000,R000017,2025-05-17,フジヤマ電機 4Kプロジェクター【店頭】（半額セール）,3,130000,390000,0.9955548759
P018,サクラ電器 加湿器 HX-50,15000,R000018,2025-06-18,加湿器 HX-50［期間限定］,4,15000,60000,0.9985951712
P019,スノーテック ワイヤレスヘッドホン WH-1000XM4,90000,R000019,2025-07-19,スノーテックワイヤレスヘッドホンWH-1000XM4[半額セール],5,90000,450000,0.996627505
P020,フジヤマ電機 掃除機 MC-CL883,75000,R000020,2025-08-20,フジヤマ電機 掃除機 mc-cl883【店頭】[半額セール],1,75000,75000,0.9941297148
P021,アオゾラ電機 ノンフロン冷蔵庫,85000,R000021,2025-09-21,アオゾラ電機 ﾉﾝﾌﾛﾝ冷蔵庫［半額セール］,2,85000,170000,0.9913735708
P022,ミライ電機 ドラム式洗濯機,100000,R000022,2025-10-22,ミライ電機ドラム式洗濯機【半額セール】,3,100000,300000,0.9877143006
P023,フジヤマ電機 エアコン CS-XE,95000,R000023,2025-11-23,フジヤマ電機 エアコン CS-XE【店頭】【半額セール】,4,95000,380000,0.9903691028
P024,スノーテック デジタルカメラ α7 III,200000,R000024,2025-12-24,デジタルカメラ α7 III（期間限定）,5,200000,1000000,0.9788087406
P092,スノーテック デジタル一眼レフ α7R IV,250000,R000024,2025-12-24,デジタルカメラ α7 III（期間限定）,5,200000,1000000,0.9101510082
P025,プリズム光学 EOS R6,230000,R000025,2025-01-25,プリズム光学eosr6［期間限定］,1,230000,230000,0.9563683821
P026,デジタルスカイ ノートパソコン FMV,80000,R000026,2025-02-26,デジタルスカイ ノートパソコン FMV【店頭】[期間限定],2,80000,160000,0.9840408313
P027,テクノスフィア ValueBook,85000,R000027,2025-03-27,テクノスフィア ValueBook＜半額セール＞,3,85000,255000,0.9497668503
P028,クリスタルビジョン OM-D E-M10,120000,R000028,2025-04-28,クリスタルビジョンOM-DE-M10【閉店セール】,4,120000,480000,0.9601044753
P029,プリズム光学 PIXMA iX6820,25000,R000029,2025-05-01,プリズム光学 PIXMA iX6820【店頭】［期間限定］,5,25000,125000,0.959245821
P030,プリントマスター エコタンク ET-2750,35000,R000030,2025-06-02,エコタンク et-2750【半額セール】,1,35000,35000,0.9944406156
P031,オフィスプロ IM C200,40000,R000031,2025-07-03,オフィスプロIMC200（期間限定）,2,40000,80000,0.9524252188
P032,テクノセラミック DS-300,45000,R000032,2025-08-04,テクノセラミック DS-300【店頭】【半額セール】,3,45000,135000,0.9902308427
P033,ゆきだるま食品 一杯きつねうどん,220,R000033,2025-09-05,ゆきだるま食品 一杯きつねうどん＜期間限定＞,4,220,880,0.9689082116
P034,クリアウォーター ゴールドプレミアム,500,R000034,2025-10-06,クリアウォーターゴールドプレミアム（期間限定）,5,500,2500,0.9748863657
P035,ヘルシー乳業 ヘルス1000,250,R000035,2025-11-07,ヘルシー乳業 ヘルス1000【店頭】［期間限定］,1,250,250,0.9835514524
P036,ホームキッチン カレールウ,300,R000036,2025-12-08,カレールウ［半額セール］,2,300,600,0.9999989613
P037,まるまる食品 こだわり麺,250,R000037,2025-01-09,まるまる食品こだわり麺[期間限定],3,250,750,0.9786929003
P038,スマイル製菓 スティックチョコ,150,R000038,2025-02-10,スマイル製菓 スティックチョコ【店頭】【閉店セール】,4,150,600,0.9431192852
P039,ドリーム製菓 プレミアムチョコ,180,R000039,2025-03-11,ドリーム製菓 プレミアムチョコ[半額セール],5,180,900,0.9715188304
P040,クラシック食品 北国ラーメン,210,R000040,2025-04-12,クラシック食品北国ラーメン【半額セール】,1,210,210,0.9784041803
P041,フレッシュベジ トマトジュース,180,R000041,2025-05-13,フレッシュベジ トマトジュース【店頭】[閉店セール],2,180,360,0.9126875943
P042,ソフトケア やさしいケア,350,R000042,2025-06-14,やさしいケア【期間限定】,3,350,1050,0.9999990893
P043,クリーンライフ クリーンウォッシュ洗剤,800,R000043,2025-07-15,クリーンライフクリーンウォッシュ洗剤[閉店セール],4,800,3200,0.9910396588
P044,ビューティーラボ フローラルシャンプー,1200,R000044,2025-08-16,ビューティーラボ フローラルシャンプー【店頭】【半額セール】,5,1200,6000,0.9974042833
P045,ヘルスケアプラス リリーフシップ,400,R000045,2025-09-17,ヘルスケアプラス リリーフシップ【閉店セール】,1,400,400,0.98541988
P046,ケアファーム クールケア,500,R000046,2025-10-18,ケアファームクールケア［期間限定］,2,500,1000,0.9881892887
P047,コスメラボ ハンドクリーム,700,R000047,2025-11-19,コスメラボ ハンドクリーム【店頭】[期間限定],3,700,2100,0.9832328928
P048,ブルーウェーブ やさしいケア 洗濯柔軟剤,300,R000048,2025-12-20,やさしいケア 洗濯柔軟剤（半額セール）,4,300,1200,0.9866505805
P049,シンプルウェア ジーンズ,3000,R000049,2025-01-21,シンプルウェアジｰﾝズ［期間限定］,5,3000,15000,0.970491369
P050,ナチュラルスタイル ウールブレンドコート,5000,R000050,2025-02-22,ナチュラルスタイル ウールブレンドコート【店頭】＜期間限定＞,1,5000,5000,0.9911705353
P051,シンプルウェア スウェットパーカー,2500,R000051,2025-03-23,シンプルウェア スウェットパーカー（半額セール）,2,2500,5000,0.9541379051
P008,ナチュラルスタイル オーガニックコットンシャツ,2500,R000052,2025-04-24,ナチュラルスタイルリネンシャツ＜半額セール＞,3,2800,8400,0.9213284669
P052,ナチュラルスタイル リネンシャツ,2800,R000052,2025-04-24,ナチュラルスタイルリネンシャツ＜半額セール＞,3,2800,8400,0.9918182542
P053,シンプルウェア ストレッチジャケット,3500,R000053,2025-05-25,シンプルウェア ストレッチジャケット【店頭】（期間限定）,4,3500,14000,0.9826209999
P054,ベーシックウェア Tシャツ,1200,R000054,2025-06-26,Tシャツ[閉店セール],5,1200,6000,0.99999936
P055,ナチュラルスタイル シンプルワンピース,4000,R000055,2025-07-27,ナチュラルスタイルシンプルワンピース＜期間限定＞,1,4000,4000,0.991487816
P056,スカイライン文具 G2ジェルペン,150,R000056,2025-08-28,スカイライン文具 G2 ジェﾙペﾝ【店頭】［半額セール］,2,150,300,0.9865971547
P057,ダイヤモンド文具 プロペンシル,120,R000057,2025-09-01,ダイヤモンド文具 プロペンシル【閉店セール】,3,120,360,0.9812758883
P058,オフィスワーク スタディノート,200,R000058,2025-10-02,オフィスワークスタディノート（半額セール）,4,200,800,0.9819036808
P059,カラーライン ハイライター,180,R000059,2025-11-03,カラーライン ハイライター【店頭】【半額セール】,5,180,900,0.967998625
P060,グリーンペンシル クリア消しゴム,100,R000060,2025-12-04,クリア消しゴム＜期間限定＞,1,100,100,0.9999988515
P061,ペンマスター スムースジェル,180,R000061,2025-01-05,ペンマスタースムースジェル［期間限定］,2,180,360,0.9214038924
P009,スカイライン文具 イレーサブルペン,100,R000062,2025-02-06,スカイライン文具 イレーサブルペン【店頭】【閉店セール】,3,130,390,0.9595169385
P062,スカイライン文具 イレーサブルペン,130,R000062,2025-02-06,スカイライン文具 イレーサブルペン【店頭】【閉店セール】,3,130,390,0.9770873042
P063,ペンマスター シャープペンシル,160,R000063,2025-03-07,ペンマスター シャープペンシル（半額セール）,4,160,640,0.9785797448
P064,アート文具 ボールペン,150,R000064,2025-04-08,アート文具ボールペン＜半額セール＞,5,150,750,0.980173214
P065,オフィスプラス カラーペンセット,250,R000065,2025-05-09,オフィスプラス カラーペンセット【店頭】＜期間限定＞,1,250,250,0.9862562053
P066,ワンダートイ トレインレール,2800,R000066,2025-06-10,トレインレール［期間限定］,2,2800,5600,0.9999993734
P067,ファンタジートイ デジペット,1200,R000067,2025-07-11,ファンタジートイデジペット【期間限定】,3,1200,3600,0.9836845197
P068,ファンタジートイ マスクヒーローフィギュア,3200,R000068,2025-08-12,ファンタジートイ マスクヒーローフィギュア【店頭】[閉店セール],4,3200,12800,0.9931284372
P072,ファンタジートイ メカロボットフィギュア,4000,R000068,2025-08-12,ファンタジートイ マスクヒーローフィギュア【店頭】[閉店セール],4,3200,12800,0.942363405
P069,ワンダートイ ミニカー,1500,R000069,2025-09-13,ワンダートイ ミニカー[閉店セール],5,1500,7500,0.9460371183
P070,ファンタジートイ チェンジロボ,3500,R000070,2025-10-14,ファンタジートイチェンジロボ［半額セール］,1,3500,3500,0.9774817694
P071,ファンタジートイ モンスターカード,500,R000071,2025-11-15,ファンタジートイ モンスターカード【店頭】［半額セール］,2,500,1000,0.9834735009
P010,ワンダートイ ロボットフィギュア,3000,R000072,2025-12-16,メカロボットフィギュア（半額セール）,3,4000,12000,0.902687538
P068,ファンタジートイ マスクヒーローフィギュア,3200,R000072,2025-12-16,メカロボットフィギュア（半額セール）,3,4000,12000,0.9267455228
P072,ファンタジートイ メカロボットフィギュア,4000,R000072,2025-12-16,メカロボットフィギュア（半額セール）,3,4000,12000,0.9999992915
P073,ワンダートイ ヒーローフィギュア,3000,R000072,2025-12-16,メカロボットフィギュア（半額セール）,3,4000,12000,0.9005449748
P010,ワンダートイ ロボットフィギュア,3000,R000073,2025-01-17,ワンダートイヒーローフィギュア【期間限定】,4,3000,12000,0.9224168881
P073,ワンダートイ ヒーローフィギュア,3000,R000073,2025-01-17,ワンダートイヒーローフィギュア【期間限定】,4,3000,12000,0.9897375777
P074,ファンタジートイ ミニレーサー,2000,R000074,2025-02-18,ファンタジートイ ミニレーサー【店頭】＜期間限定＞,5,2000,10000,0.9899111442
P075,スノーテック ワイヤレススピーカー SRS-XB12,8000,R000075,2025-03-19,スノーテック ワイヤレススピーカー srs-xb12［半額セール］,1,8000,8000,0.9954245491
P076,フジヤマ電機 ポータブルスピーカー,6000,R000076,2025-04-20,フジヤマ電機ポータブルスピーカー【半額セール】,2,6000,12000,0.987989176
P077,サクラ電器 スマートウォッチ,18000,R000077,2025-05-21,サクラ電器 ｽﾏｰﾄｳォッﾁ【店頭】［半額セール］,3,18000,54000,0.9759248102
P078,ミライ電機 デジタルサイネージ,95000,R000078,2025-06-22,デジタルサイネージ＜期間限定＞,4,95000,380000,0.9999989495
P079,フジヤマ電機 電子レンジ,15000,R000079,2025-07-23,フジヤマ電機電子レンジ[半額セール],5,15000,75000,0.9836082263
P080,スノーテック ブルーレイプレーヤー,12000,R000080,2025-08-24,スノーテック ブルーレイプレーヤー【店頭】[期間限定],1,12000,12000,0.9936185494
P081,グローバルビジョン LED55PRO,180000,R000081,2025-09-25,グローバルビジョン LED55PRO【期間限定】,2,180000,360000,0.9513697772
P082,アオゾラ電機 LEDテレビ 55型,70000,R000082,2025-10-26,アオゾラ電機LEDテレビ55型【閉店セール】,3,70000,210000,0.993779452
P083,フジヤマ電機 冷蔵庫 NR-F603M,90000,R000083,2025-11-27,フジヤマ電機 冷蔵庫 NR-F603M【店頭】［半額セール］,4,90000,360000,0.9947842912
P084,サクラ電器 空気清浄機,22000,R000084,2025-12-28,空気清浄機[閉店セール],5,22000,110000,0.999997974
P085,ミライ電機 炊飯器 RZ-Mシリーズ,30000,R000085,2025-01-01,ミライ電機炊飯器rz-mシリーズ【半額セール】,1,30000,30000,0.9927871262
P086,ヤマト IHクッキングヒーター,45000,R000086,2025-02-02,ヤマト IHクッキングヒーター【店頭】[期間限定],2,45000,90000,0.9955230582
P087,スノーテック ゲーム機 GAMESTATION5,50000,R000087,2025-03-03,スノーテック ゲーム機 GAMESTATION5【期間限定】,3,50000,150000,0.9725828721
P088,ゲームワールド ポータブルゲーム,40000,R000088,2025-04-04,ゲームワールドポータブルゲーム＜半額セール＞,4,40000,160000,0.9953227999
P089,グローバルゲーム ゲームボックスX,55000,R000089,2025-05-05,グローバルゲーム ゲームボックスX【店頭】【半額セール】,5,55000,275000,0.9521460843
P090,フジヤマ電機 ビエラ ブルーレイレコーダー,35000,R000090,2025-06-06,ビエラ ブルーレイレコーダー［期間限定］,1,35000,35000,0.9867766571
P091,サクラ電器 スマートフォン CLEARSCREEN R6,70000,R000091,2025-07-07,サクラ電器ｽﾏｰﾄﾌォﾝCLEARSCREENR6【半額セール】,2,70000,140000,0.9559145488
P024,スノーテック デジタルカメラ α7 III,200000,R000092,2025-08-08,スノーテック デジタル一眼レフ α7R IV【店頭】[半額セール],3,250000,750000,0.919052909
P092,スノーテック デジタル一眼レフ α7R IV,250000,R000092,2025-08-08,スノーテック デジタル一眼レフ α7R IV【店頭】[半額セール],3,250000,750000,0.9568578858
P025,プリズム光学 EOS R6,230000,R000093,2025-09-09,プリズム光学 EOS 90D＜期間限定＞,4,150000,600000,0.9026270039
P093,プリズム光学 EOS 90D,150000,R000093,2025-09-09,プリズム光学 EOS 90D＜期間限定＞,4,150000,600000,0.9794857657
P094,レンズマスター X-T4,170000,R000094,2025-10-10,レンズマスターX-T4＜半額セール＞,5,170000,850000,0.9917191134
P095,クリスタルビジョン PEN-F,140000,R000095,2025-11-11,クリスタルビジョン pen-f【店頭】（半額セール）,1,140000,140000,0.993544399
P096,ビジョンプロ Z6 II,200000,R000096,2025-12-12,Z6 II［半額セール］,2,200000,400000,0.9743271453
P097,プリズム光学 imagePROGRAF PRO-1000,300000,R000097,2025-01-13,プリズム光学imagePROGRAFPRO-1000［期間限定］,3,300000,900000,0.9815889467
P098,プリントマスター スキャナー Perfection V39,25000,R000098,2025-02-14,プリントマスター ｽｷャﾅｰ Perfection V39【店頭】（期間限定）,4,25000,100000,0.9803949122
P099,オフィスプロ MP C4504,80000,R000099,2025-03-15,オフィスプロ ＭＰ Ｃ４５０４（半額セール）,5,80000,400000,0.9662264915
P100,テクノセラミック TASKalfa 2552ci,250000,R000100,2025-04-16,テクノセラミックtaskalfa2552ci（半額セール）,1,250000,250000,0.9748078996
P001,スノーテック CRYSTALVIEW KJ-55X9500G,150000,R000101,2025-05-17,スノーテック CRYSTALVIEW KJ-55X9500G【店頭】（半額セール）,2,150000,300000,0.9934091526
P002,フジヤマ電機 VISIONMAX TH-55FX700M,120000,R000102,2025-06-18,VISIONMAX TH-55FX700M［期間限定］,3,120000,360000,0.9340269953
P003,サクラ電器 CLEARSCREEN 4T KJ-55X7000,110000,R000103,2025-07-19,サクラ電器CLEARSCREEN4TKJ-55X7000（期間限定）,4,110000,440000,0.9810379297
P004,ゆきだるま食品 カップめん,200,R000104,2025-08-20,ゆきだるま食品 カップめん【店頭】[期間限定],5,200,1000,0.9767603981
P005,サファイア飲料 ゴールドビール,400,R000105,2025-09-21,サファイア飲料 ゴールドビール＜期間限定＞,1,400,400,0.9863029851
P006,ブルーウェーブ パワフル洗剤,800,R000106,2025-10-22,ブルーウェーブパワフル洗剤（半額セール）,2,800,1600,0.9846070943
P007,シンプルウェア ウォームインナーシャツ,1500,R000107,2025-11-23,シンプルウェア ウォームインナーシャツ【店頭】[閉店セール],3,1500,4500,0.9898462613
P008,ナチュラルスタイル オーガニックコットンシャツ,2500,R000108,2025-12-24,オーガニックコットンシャツ【半額セール】,4,2500,10000,1
P009,スカイライン文具 イレーサブルペン,100,R000109,2025-01-25,スカイライン文具イレーサブルペン＜期間限定＞,5,100,500,0.9749216855
P062,スカイライン文具 イレーサブルペン,130,R000109,2025-01-25,スカイライン文具イレーサブルペン＜期間限定＞,5,100,500,0.9595800972
P010,ワンダートイ ロボットフィギュア,3000,R000110,2025-02-26,ワンダートイ ロボットフィギュア【店頭】【閉店セール】,1,3000,3000,0.984285938
P073,ワンダートイ ヒーローフィギュア,3000,R000110,2025-02-26,ワンダートイ ロボットフィギュア【店頭】【閉店セール】,1,3000,3000,0.9230645375
P011,アオゾラ電機 BRIGHTVIEW 43S32,70000,R000111,2025-03-27,アオゾラ電機 BRIGHTVIEW 43S32[期間限定],2,70000,140000,0.9921925904
P012,サンシャイン製菓 ミルクチョコ,150,R000112,2025-04-28,サンシャイン製菓ミルクチョコ【半額セール】,3,150,450,0.975573275
P013,フレッシュケア ソフティーナ,500,R000113,2025-05-01,フレッシュケア ソフティーナ【店頭】［半額セール］,4,500,2000,0.9764461675
P014,ヤマトエアコン MSZ-GV3519,90000,R000114,2025-06-02,MSZ-GV3519【半額セール】,5,90000,450000,0.9383386157
P015,ハッピースイーツ チョコパイ,300,R000115,2025-07-03,ハッピースイーツチョコパイ【期間限定】,1,300,300,0.974017491
P016,ミライ電機 4Kスマートテレビ,80000,R000116,2025-08-04,ミライ電機 4Kスマートテレビ【店頭】[閉店セール],2,80000,160000,0.9974743196
P017,フジヤマ電機 4Kプロジェクター,130000,R000117,2025-09-05,フジヤマ電機 4Kプロジェクター（期間限定）,3,130000,390000,0.9956013149
P018,サクラ電器 加湿器 HX-50,15000,R000118,2025-10-06,サクラ電器加湿器HX-50[期間限定],4,15000,60000,0.9943291271
P019,スノーテック ワイヤレスヘッドホン WH-1000XM4,90000,R000119,2025-11-07,スノーテック ﾜｲﾔﾚｽﾍッドﾎﾝ WH-1000XM4【店頭】（半額セール）,5,90000,450000,0.9966136479
P020,フジヤマ電機 掃除機 MC-CL883,75000,R000120,2025-12-08,掃除機 mc-cl883【半額セール】,1,75000,75000,0.9961144984
P021,アオゾラ電機 ノンフロン冷蔵庫,85000,R000121,2025-01-09,アオゾラ電機ノンフロン冷蔵庫［期間限定］,2,85000,170000,0.9913768486
P022,ミライ電機 ドラム式洗濯機,100000,R000122,2025-02-10,ミライ電機 ドラム式洗濯機【店頭】【期間限定】,3,100000,300000,0.9877049936
P023,フジヤマ電機 エアコン CS-XE,95000,R000123,2025-03-11,フジヤマ電機 エアコン CS-XE[半額セール],4,95000,380000,0.9903685119
P024,スノーテック デジタルカメラ α7 III,200000,R000124,2025-04-12,スノーテックデジタルカメラα7III［半額セール］,5,200000,1000000,0.9805576354
P092,スノーテック デジタル一眼レフ α7R IV,250000,R000124,2025-04-12,スノーテックデジタルカメラα7III［半額セール］,5,200000,1000000,0.918951375
P025,プリズム光学 EOS R6,230000,R000125,2025-05-13,プリズム光学 eos r6【店頭】［半額セール］,1,230000,230000,0.9563540401
P026,デジタルスカイ ノートパソコン FMV,80000,R000126,2025-06-14,ﾉｰﾄパｿｺﾝ FMV【半額セール】,2,80000,160000,0.9910138137
P027,テクノスフィア ValueBook,85000,R000127,2025-07-15,テクノスフィアValueBook［半額セール］,3,85000,255000,0.9497981908
P028,クリスタルビジョン OM-D E-M10,120000,R000128,2025-08-16,クリスタルビジョン OM-D E-M10【店頭】[閉店セール],4,120000,480000,0.9600980028
P029,プリズム光学 PIXMA iX6820,25000,R000129,2025-09-17,プリズム光学 PIXMA iX6820[期間限定],5,25000,125000,0.9592148683
P030,プリントマスター エコタンク ET-2750,35000,R000130,2025-10-18,プリントマスターエコタンクet-2750[半額セール],1,35000,35000,0.9937934513
P031,オフィスプロ IM C200,40000,R000131,2025-11-19,オフィスプロ IM C200【店頭】＜半額セール＞,2,40000,80000,0.9524450231
P032,テクノセラミック DS-300,45000,R000132,2025-12-20,ＤＳ－３００（期間限定）,3,45000,135000,1
P033,ゆきだるま食品 一杯きつねうどん,220,R000133,2025-01-21,ゆきだるま食品一杯きつねうどん[閉店セール],4,220,880,0.9689082116
P034,クリアウォーター ゴールドプレミアム,500,R000134,2025-02-22,クリアウォーター ゴールドプレミアム【店頭】[半額セール],5,500,2500,0.9748863657
P035,ヘルシー乳業 ヘルス1000,250,R000135,2025-03-23,ヘルシー乳業 ヘルス1000［期間限定］,1,250,250,0.9835514524
P036,ホームキッチン カレールウ,300,R000136,2025-04-24,ホームキッチンカレールウ[半額セール],2,300,600,0.9874982923
P037,まるまる食品 こだわり麺,250,R000137,2025-05-25,まるまる食品 こだわり麺【店頭】[閉店セール],3,250,750,0.9786929003
P038,スマイル製菓 スティックチョコ,150,R000138,2025-06-26,スティックチョコ［期間限定］,4,150,600,0.9999990012
P039,ドリーム製菓 プレミアムチョコ,180,R000139,2025-07-27,ドリーム製菓プレミアムチョコ[閉店セール],5,180,900,0.9715188304
P040,クラシック食品 北国ラーメン,210,R000140,2025-08-28,クラシック食品 北国ラーメン【店頭】【期間限定】,1,210,210,0.9784041803
P041,フレッシュベジ トマトジュース,180,R000141,2025-09-01,フレッシュベジ トマトジュース[半額セール],2,180,360,0.9126875943
P042,ソフトケア やさしいケア,350,R000142,2025-10-02,ソフトケアやさしいケア＜期間限定＞,3,350,1050,0.9490593274
P043,クリーンライフ クリーンウォッシュ洗剤,800,R000143,2025-11-03,クリーンライフ クリーンウォッシュ洗剤【店頭】（半額セール）,4,800,3200,0.9910396588
P044,ビューティーラボ フローラルシャンプー,1200,R000144,2025-12-04,フローラルシャンプー＜半額セール＞,5,1200,6000,0.9999993024
P045,ヘルスケアプラス リリーフシップ,400,R000145,2025-01-05,ヘルスケアプラスリリーフシップ＜期間限定＞,1,400,400,0.98541988
P046,ケアファーム クールケア,500,R000146,2025-02-06,ケアファーム クールケア【店頭】【閉店セール】,2,500,1000,0.9881892887
P047,コスメラボ ハンドクリーム,700,R000147,2025-03-07,コスメラボ ﾊﾝドｸﾘｰﾑ【半額セール】,3,700,2100,0.9832328928
P006,ブルーウェーブ パワフル洗剤,800,R000148,2025-04-08,ブルーウェーブやさしいケア洗濯柔軟剤（半額セール）,4,300,1200,0.9109261034
P048,ブルーウェーブ やさしいケア 洗濯柔軟剤,300,R000148,2025-04-08,ブルーウェーブやさしいケア洗濯柔軟剤（半額セール）,4,300,1200,0.9750812985
P049,シンプルウェア ジーンズ,3000,R000149,2025-05-09,シンプルウェア ジーンズ【店頭】＜半額セール＞,5,3000,15000,0.970491369
P050,ナチュラルスタイル ウールブレンドコート,5000,R000150,2025-06-10,ウールブレンドコート【半額セール】,1,5000,5000,0.9999989123
P051,シンプルウェア スウェットパーカー,2500,R000151,2025-07-11,シンプルウェアスウェットパーカー[半額セール],2,2500,5000,0.9541379051
P008,ナチュラルスタイル オーガニックコットンシャツ,2500,R000152,2025-08-12,ナチュラルスタイル リネンシャツ【店頭】（半額セール）,3,2800,8400,0.9213284669
P052,ナチュラルスタイル リネンシャツ,2800,R000152,2025-08-12,ナチュラルスタイル リネンシャツ【店頭】（半額セール）,3,2800,8400,0.9918182542
P053,シンプルウェア ストレッチジャケット,3500,R000153,2025-09-13,シンプルウェア ストレッチジャケット【半額セール】,4,3500,14000,0.9826209999
P054,ベーシックウェア Tシャツ,1200,R000154,2025-10-14,ベーシックウェアＴｼャﾂ［半額セール］,5,1200,6000,0.9361308506
P055,ナチュラルスタイル シンプルワンピース,4000,R000155,2025-11-15,ナチュラルスタイル シンプルワンピース【店頭】[期間限定],1,4000,4000,0.991487816
P056,スカイライン文具 G2ジェルペン,150,R000156,2025-12-16,G2ジェルペン＜期間限定＞,2,150,300,0.9701303292
P057,ダイヤモンド文具 プロペンシル,120,R000157,2025-01-17,ダイヤモンド文具プロペンシル[半額セール],3,120,360,0.9812758883
P058,オフィスワーク スタディノート,200,R000158,2025-02-18,オフィスワーク スタディノート【店頭】［期間限定］,4,200,800,0.9819036808
P059,カラーライン ハイライター,180,R000159,2025-03-19,カラーライン ハイライター【閉店セール】,5,180,900,0.967998625
P060,グリーンペンシル クリア消しゴム,100,R000160,2025-04-20,グリーンペンシルクリア消しゴム（期間限定）,1,100,100,0.9768622432
P061,ペンマスター スムースジェル,180,R000161,2025-05-21,ペンマスター スムースジェル【店頭】［期間限定］,2,180,360,0.9215514101
P009,スカイライン文具 イレーサブルペン,100,R000162,2025-06-22,イレーサブルペン（半額セール）,3,130,390,0.9690742093
P062,スカイライン文具 イレーサブルペン,130,R000162,2025-06-22,イレーサブルペン（半額セール）,3,130,390,0.99999904
P063,ペンマスター シャープペンシル,160,R000163,2025-07-23,ペンマスターシャープペンシル＜期間限定＞,4,160,640,0.9785904557
P064,アート文具 ボールペン,150,R000164,2025-08-24,アート文具 ボールペン【店頭】[閉店セール],5,150,750,0.9802074394
P065,オフィスプラス カラーペンセット,250,R000165,2025-09-25,オフィスプラス カラーペンセット［半額セール］,1,250,250,0.9862562053
P066,ワンダートイ トレインレール,2800,R000166,2025-10-26,ワンダートイトレインレール[期間限定],2,2800,5600,0.9712520288
P067,ファンタジートイ デジペット,1200,R000167,2025-11-27,ファンタジートイ デジペット【店頭】［半額セール］,3,1200,3600,0.9836845197
P068,ファンタジートイ マスクヒーローフィギュア,3200,R000168,2025-12-28,マスクヒーローフィギュア＜半額セール＞,4,3200,12800,0.9999991172
P072,ファンタジートイ メカロボットフィギュア,4000,R000168,2025-12-28,マスクヒーローフィギュア＜半額セール＞,4,3200,12800,0.9267697207
