product_id,product_name,unit_price
P096,ビジョンプロ Z6 II,200000
P097,プリズム光学 imagePROGRAF PRO-1000,300000
P098,プリントマスター スキャナー Perfection V39,25000
P099,オフィスプロ MP C4504,80000
P100,テクノセラミック TASKalfa 2552ci,250000
P101,スノーフレッシュ 有機サラダ菜パック,298
P102,スノーフレッシュ 有機人参3本パック,258
P103,スノーフレッシュ 有機じゃがいも2kgパック,498
P104,スノーフレッシュ 有機バナナ,398
P105,スノーフレッシュ 有機レモン3個パック,298
P106,スノーフレッシュ 有機ブルーベリー,598
P107,スノーフレッシュ 有機トマトジュース 500ml,298
P108,スノーフレッシュ 特選牛乳 1L,218
P109,スノーフレッシュ プレーンヨーグルト 400g,158
P110,スノーフレッシュ 平飼い卵 10個,298
P111,スノーフレッシュ 国産大豆絹ごし豆腐,98
P112,スノーフレッシュ 毎日食パン 6枚切,158
P113,スノーセレクト プレミアム和牛,1980
P114,スノーセレクト 熟成豚肉,698
P115,スノーセレクト 朝びき地鶏,598
P116,スノーセレクト 朝獲れ鮮魚,498
P117,スノーセレクト 高級刺身盛り合わせ,1280
P118,スノーセレクト シェフ特製惣菜,398
P119,スノーデリ 本格ビーフカレーキット,598
P120,スノーデリ パスタソース&麺セット,498
P121,スノーデリ 具材付き炊き込みご飯の素,598
P122,スノーデリ ハンバーグキット,598
P123,スノーデリ タイ風グリーンカレー,598
P124,スノーデリ スープセット,398
P125,スノーデリ 中華炒めセット,598
